unix_ts,commit,bench,count,elapsed_s,mevals_per_s,ns_per_eval
1777462642,4767ffc4,exhaustive_random_10s,51118080,10.0567,5.08,196.74
1777462652,4767ffc4,exhaustive_random_10s,51118080,10.0419,5.09,196.44
1777462662,4767ffc4,exhaustive_random_10s,51904512,10.0112,5.18,192.88
1777462675,dbf65323,exhaustive_random_10s,58982400,10.0387,5.88,170.20
1777462686,dbf65323,exhaustive_random_10s,58720256,10.0519,5.84,171.18
1777462696,dbf65323,exhaustive_random_10s,58458112,10.0337,5.83,171.64
1777462709,891ad07e,exhaustive_random_10s,63176704,10.0586,6.28,159.21
1777462719,891ad07e,exhaustive_random_10s,62128128,10.0206,6.20,161.29
1777462729,891ad07e,exhaustive_random_10s,63176704,10.0312,6.30,158.78
1777462742,9a16dd1e,exhaustive_random_10s,61865984,10.0316,6.17,162.15
1777462752,9a16dd1e,exhaustive_random_10s,62390272,10.0041,6.24,160.35
1777462762,9a16dd1e,exhaustive_random_10s,62652416,10.0537,6.23,160.47
1777462775,cb041bc6,exhaustive_random_10s,62914560,10.0409,6.27,159.60
1777462785,cb041bc6,exhaustive_random_10s,63176704,10.0123,6.31,158.48
1777462795,cb041bc6,exhaustive_random_10s,63176704,10.0014,6.32,158.31
1777463264,f7861c58,exhaustive_random_10s,67371008,10.0195,6.72,148.72
1777463274,f7861c58,exhaustive_random_10s,63176704,10.0284,6.30,158.74
1777463284,f7861c58,exhaustive_random_10s,61341696,10.0038,6.13,163.08
1777463318,f7861c58,exhaustive_random_10s,65273856,10.0390,6.50,153.80
1777463328,f7861c58,exhaustive_random_10s,61079552,10.0104,6.10,163.89
1777463339,f7861c58,exhaustive_random_10s,62128128,10.0390,6.19,161.59
